Регион,Кол-во заявок,Актив,Инфопоиск,Автоном,ЛНС,Погиб,Утонул,Население,Заявки_на_100к,Успешность_%,Смертность_на_100к
Адыгея,743,87,244,79,20,83,21,498285.0,149.11,32.8,20.87
Алтайский,4708,332,909,296,131,532,65,2154932.0,218.48,19.3,27.7
Амурская,570,16,126,46,14,53,6,763570.0,74.65,22.1,7.73
Архангельская,808,62,136,38,43,104,9,1016030.0,79.53,16.8,11.12
Астраханская,897,51,157,115,9,117,36,957772.0,93.65,17.5,15.97
Башкортостан,5767,464,1329,467,161,668,89,4091621.0,140.95,23.0,18.5
Белгородская,2058,233,374,225,29,230,21,1536466.0,133.94,18.2,16.34
Брянская,3124,395,147,301,540,335,50,1164635.0,268.24,4.7,33.06
Бурятия,4870,184,441,271,243,268,69,977951.0,497.98,9.1,34.46
Владимирская,5186,651,1107,438,1033,518,51,1342235.0,386.37,21.3,42.39
Волгоградская,2556,175,576,249,23,325,40,2492808.0,102.53,22.5,14.64
Вологодская,1278,135,199,104,167,152,34,1138424.0,112.26,15.6,16.34
Воронежская,6209,374,427,274,140,537,98,2302617.0,269.65,6.9,27.58
Дагестан,538,38,119,57,5,51,5,3186902.0,16.88,22.1,1.76
Еврейская,39,0,2,0,0,4,0,149580.0,26.07,5.1,2.67
Забайкальский,272,0,10,1,12,33,4,1000520.0,27.19,3.7,3.7
Ивановская,5148,482,620,340,1575,300,34,924114.0,557.07,12.0,36.14
Ингушетия,58,0,17,4,3,2,2,511316.0,11.34,29.3,0.78
Иркутская,3356,252,683,205,246,366,56,2363447.0,142.0,20.4,17.86
Кабардино-Балкария,307,20,73,42,6,50,3,904338.0,33.95,23.8,5.86
Калининградская,417,0,17,8,13,30,9,1030979.0,40.45,4.1,3.78
Калмыкия,63,1,4,1,2,13,1,266432.0,23.65,6.3,5.25
Калужская,4324,604,626,421,647,402,46,1073252.0,402.89,14.5,41.74
Камчатский,130,0,4,0,2,11,1,292574.0,44.43,3.1,4.1
Карелия,1071,178,244,79,103,158,49,532384.0,201.17,22.8,38.88
Кемеровская,16146,514,1191,534,1516,769,71,2592013.0,622.91,7.4,32.41
Кировская,5148,667,921,186,380,458,41,1149176.0,447.97,17.9,43.42
Коми,1555,134,452,152,94,206,38,734363.0,211.75,29.1,33.23
Костромская,3021,434,464,260,647,224,43,577996.0,522.67,15.4,46.19
Краснодарский,12290,732,3024,1278,216,1098,91,5832042.0,210.73,24.6,20.39
Красноярский,2996,269,525,288,236,287,41,2856326.0,104.89,17.5,11.48
Крым,3913,307,977,409,57,391,28,1931091.0,202.63,25.0,21.7
Курганская,836,35,239,175,23,122,17,772332.0,108.24,28.6,18.0
Курская,3405,387,610,217,61,406,38,1078156.0,315.82,17.9,41.18
КЧР ( Карачаево-Черкесия ),136,2,9,0,4,18,4,469096.0,28.99,6.6,4.69
Ленинградская,24219,1191,4913,2126,884,2035,217,2006022.0,1207.31,20.3,112.26
Липецкая,2075,126,399,152,45,241,42,1138140.0,182.32,19.2,24.87
Магаданская,61,1,1,0,4,5,0,135907.0,44.88,1.6,3.68
Марий Эл,1564,246,442,156,78,171,20,676351.0,231.24,28.3,28.24
Мордовия,592,63,169,78,37,99,10,781440.0,75.76,28.5,13.95
Московская,86302,5708,7192,2770,7935,4526,247,8542257.0,1010.3,8.3,55.88
Мурманская,802,38,170,58,30,123,26,665240.0,120.56,21.2,22.4
Нижегородская,4995,304,736,439,730,387,59,3108918.0,160.67,14.7,14.35
Новгородская,1237,6,22,13,817,82,14,581578.0,212.7,1.8,16.51
Новосибирская,8382,635,1120,859,270,672,63,2797492.0,299.63,13.4,26.27
Омская,4684,208,245,489,245,236,48,1851537.0,252.98,5.2,15.34
Оренбургская,622,2,22,3,10,71,4,1855781.0,33.52,3.5,4.04
Орловская,1666,267,318,164,200,189,12,710023.0,234.64,19.1,28.31
Пензенская,3440,230,275,182,158,349,34,1261103.0,272.78,8.0,30.37
Пермский,3369,235,700,409,142,401,69,2525149.0,133.42,20.8,18.61
Приморский,871,18,83,36,35,117,21,1841961.0,47.29,9.5,7.49
Псковская,1219,30,469,240,176,182,39,596899.0,204.22,38.5,37.02
Респ. Алтай,142,0,8,0,2,12,4,210808.0,67.36,5.6,7.59
Ростовская,7639,485,819,789,74,717,102,4192322.0,182.21,10.7,19.54
РСО ( Северная Осетия ),123,3,10,3,3,20,1,685393.0,17.95,8.1,3.06
Рязанская,2866,301,435,321,326,315,34,1098579.0,260.88,15.2,31.77
Самарская,8236,834,1685,568,182,716,93,3164384.0,260.27,20.5,25.57
Саратовская,3334,287,658,299,45,375,56,2431012.0,137.14,19.7,17.73
Саха (Якутия),230,0,10,1,3,29,1,997833.0,23.05,4.3,3.01
Сахалинская,131,1,4,0,3,9,1,466009.0,28.11,3.1,2.15
Свердловская,8124,605,1964,1062,335,806,62,4263691.0,190.54,24.2,20.36
Смоленская,471,6,23,3,21,51,11,886900.0,53.11,4.9,6.99
Ставропольский,3387,295,851,449,44,303,42,2902455.0,116.69,25.1,11.89
Тамбовская,1757,318,512,259,89,237,39,979171.0,179.44,29.1,28.19
Татарстан,6139,292,1608,698,209,565,55,4000084.0,153.47,26.2,15.5
Тверская,1911,71,96,80,754,201,31,1226038.0,155.87,5.0,18.92
Томская,3045,452,359,276,253,290,32,1062726.0,286.53,11.8,30.3
Тульская,4287,548,820,352,520,393,38,1496690.0,286.43,19.1,28.8
Тыва,71,0,4,1,2,8,3,336251.0,21.12,5.6,3.27
Тюменская,2054,166,487,413,147,159,22,3827679.0,53.66,23.7,4.73
Удмуртская,646,4,51,12,20,67,2,1448946.0,44.58,7.9,4.76
Ульяновская,3788,200,793,479,461,289,39,1191661.0,317.88,20.9,27.52
